Mouse_ID,Neuron_ID,Model,R²_train,R²_test
Mouse509,Neuron_8,BF,-0.00405982559502982,-0.0009919423102680014
Mouse509,Neuron_8,BFmotion,-0.0033302897061757266,-0.0014332646961037199
Mouse509,Neuron_8,HR,-0.0008717219312464941,-0.004806008959289398
Mouse509,Neuron_8,HRmotion,-0.0012263392191719457,-0.0011681590682972587
Mouse509,Neuron_8,all,-0.002592338172636177,-0.0026267500158068113
Mouse509,Neuron_9,motion,-0.002868682358477437,-0.01734827121525573
Mouse509,Neuron_9,BF,0.000586786416481222,-0.027632707353283603
Mouse509,Neuron_9,BFmotion,0.003472956917662007,-0.022042170730227628
Mouse509,Neuron_9,HR,0.0013790244426271857,-0.017930925768754546
Mouse509,Neuron_9,HRmotion,0.007784339168033383,-0.014727440477246834
Mouse509,Neuron_9,all,0.01082235039875148,-0.018397249369077828
Mouse509,Neuron_10,motion,0.06718286155613659,0.050812104335963615
Mouse509,Neuron_10,BF,0.13188839959660628,0.11425011492630621
Mouse509,Neuron_10,BFmotion,0.1374387873716272,0.12951223013529567
Mouse509,Neuron_10,HR,0.02909530211399547,0.010303206665452369
Mouse509,Neuron_10,HRmotion,0.0708425496520289,0.06886779128362575
Mouse509,Neuron_10,all,0.1374808434769758,0.12720903644125758
Mouse509,Neuron_11,motion,0.1580571005866816,0.1540905334589826
Mouse509,Neuron_11,BF,0.1556992438347527,0.1533664641016136
Mouse509,Neuron_11,BFmotion,0.21218465038973439,0.22230749256552484
Mouse509,Neuron_11,HR,0.1350961457808903,0.0467052207525942
Mouse509,Neuron_11,HRmotion,0.18344668869501507,0.1278021743087261
Mouse509,Neuron_11,all,0.2194153918110407,0.1943602736748533
Mouse509,Neuron_12,motion,0.09120894701161955,0.09112903907582437
Mouse509,Neuron_12,BF,0.0007339285715259214,0.0012001556520786494
Mouse509,Neuron_12,BFmotion,0.10110797537246903,0.09443612908425425
Mouse509,Neuron_12,HR,0.04763091570969513,-0.01277387706779054
Mouse509,Neuron_12,HRmotion,0.09967357607779496,0.06473425657851406
Mouse509,Neuron_12,all,0.11289855492914805,0.05765293250877079
Mouse509,Neuron_13,motion,0.03931329397333201,0.011675150895558373
Mouse509,Neuron_13,BF,0.013600572701498902,0.00038621339396638366
Mouse509,Neuron_13,BFmotion,0.04395119761993101,0.010630665398418393
Mouse509,Neuron_13,HR,0.019438645919129804,-0.025939003797812887
Mouse509,Neuron_13,HRmotion,0.07539690967219947,-0.003913032408488615
Mouse509,Neuron_13,all,0.07587322836770265,-0.005283563385125145
Mouse509,Neuron_14,motion,0.09034648958685194,0.1510461694547195
Mouse509,Neuron_14,BF,0.016084098947234105,0.022581558414541347
Mouse509,Neuron_14,BFmotion,0.09085796311389291,0.1537887345882385
Mouse509,Neuron_14,HR,0.10561261025871047,0.09112343292614267
Mouse509,Neuron_14,HRmotion,0.11858694668337448,0.14033215739422011
Mouse509,Neuron_14,all,0.11691189322898339,0.13981126606545413
Mouse509,Neuron_15,motion,0.0010865294103543865,-0.024792067406167684
